,MPG,Cylinders,Displacement,horsepower,Weight,Acceleration,Model_Year,Origin,Car Name
347,25.8,4,156.0,92.0,2620,14.4,81,1,dodge aries wagon (sw)
21,22.0,6,198.0,95.0,2833,15.5,70,1,plymouth duster
219,16.5,8,350.0,180.0,4380,12.1,76,1,cadillac seville
267,18.6,6,225.0,110.0,3620,18.7,78,1,dodge aspen
88,28.0,4,97.0,92.0,2288,17.0,72,3,datsun 510 (sw)
285,31.5,4,89.0,71.0,1990,14.9,78,2,volkswagen scirocco
168,16.0,6,250.0,105.0,3897,18.5,75,1,chevroelt chevelle malibu
236,16.0,8,400.0,180.0,4220,11.1,77,1,pontiac grand prix lj
145,14.0,8,318.0,150.0,4457,13.5,74,1,dodge coronet custom (sw)
308,34.2,4,105.0,70.0,2200,13.2,79,1,plymouth horizon
79,15.0,8,304.0,150.0,3892,12.5,72,1,amc matador (sw)
305,23.0,8,350.0,125.0,3900,17.4,79,1,cadillac eldorado
67,20.0,4,140.0,90.0,2408,19.5,72,1,chevrolet vega
23,21.0,6,200.0,85.0,2587,16.0,70,1,ford maverick
185,23.0,4,120.0,88.0,2957,17.0,75,2,peugeot 504
40,19.0,6,232.0,100.0,2634,13.0,71,1,amc gremlin
394,25.0,6,181.0,110.0,2945,16.4,82,1,buick century limited
380,27.0,4,151.0,90.0,2735,18.0,82,1,pontiac phoenix
363,32.4,4,108.0,75.0,2350,16.8,81,3,toyota corolla
348,23.5,6,173.0,110.0,2725,12.6,81,1,chevrolet citation
281,20.3,5,131.0,103.0,2830,15.9,78,2,audi 5000
183,19.0,6,232.0,90.0,3211,17.0,75,1,amc pacer
174,29.0,4,97.0,75.0,2171,16.0,75,3,toyota corolla
374,17.6,6,225.0,85.0,3465,16.6,81,1,chrysler lebaron salon
249,21.5,4,121.0,110.0,2600,12.8,77,2,bmw 320i
244,30.5,4,98.0,63.0,2051,17.0,77,1,chevrolet chevette
192,26.0,4,98.0,79.0,2255,17.7,76,1,dodge colt
195,16.0,8,318.0,150.0,4190,13.0,76,1,dodge coronet brougham
213,26.5,4,140.0,72.0,2565,13.6,76,1,ford pinto
230,15.5,8,318.0,145.0,4140,13.7,77,1,dodge monaco brougham
293,17.6,8,302.0,129.0,3725,13.4,79,1,ford ltd landau
9,15.0,8,390.0,190.0,3850,8.5,70,1,amc ambassador dpl
400,27.0,4,151.0,90.0,2950,17.3,82,1,chevrolet camaro
307,23.9,8,260.0,90.0,3420,22.2,79,1,oldsmobile cutlass salon brougham
170,18.0,6,225.0,95.0,3785,19.0,75,1,plymouth fury
381,24.0,4,140.0,92.0,2865,16.4,82,1,ford fairmont futura
365,31.6,4,120.0,74.0,2635,18.3,81,3,mazda 626
280,23.9,4,119.0,97.0,2405,14.9,78,3,datsun 200-sx
387,36.0,4,98.0,70.0,2125,17.3,82,1,mercury lynx l
164,15.0,8,350.0,145.0,4440,14.0,75,1,chevrolet bel air
368,30.7,6,145.0,76.0,3160,19.6,81,2,volvo diesel
340,32.7,6,168.0,132.0,2910,11.4,80,3,datsun 280-zx
252,36.1,4,98.0,66.0,1800,14.4,78,1,ford fiesta
167,17.0,6,231.0,110.0,3907,21.0,75,1,buick century
304,25.4,5,183.0,77.0,3530,20.1,79,2,mercedes benz 300d
122,15.0,8,350.0,145.0,4082,13.0,73,1,chevrolet monte carlo s
169,15.0,6,258.0,110.0,3730,19.0,75,1,amc matador
335,30.0,4,146.0,67.0,3250,21.8,80,2,mercedes-benz 240d
228,17.5,8,305.0,145.0,3880,12.5,77,1,chevrolet caprice classic
180,24.0,4,119.0,97.0,2545,17.0,75,3,datsun 710
132,20.0,6,198.0,95.0,3102,16.5,74,1,plymouth duster
242,26.0,4,97.0,75.0,2265,18.2,77,3,toyota corolla liftback
379,29.0,4,135.0,84.0,2525,16.0,82,1,dodge aries se
199,22.0,6,250.0,105.0,3353,14.5,76,1,chevrolet nova
124,29.0,4,68.0,49.0,1867,19.5,73,2,fiat 128
225,36.0,4,79.0,58.0,1825,18.6,77,2,renault 5 gtl
142,18.0,6,225.0,105.0,3613,16.5,74,1,plymouth satellite sebring
58,30.0,4,79.0,70.0,2074,19.5,71,2,peugeot 304
405,31.0,4,119.0,82.0,2720,19.4,82,1,chevy s-10
150,26.0,4,97.0,78.0,2300,14.5,74,2,opel manta
114,18.0,6,232.0,100.0,2789,15.0,73,1,amc gremlin
253,32.8,4,78.0,52.0,1985,19.4,78,3,mazda glc deluxe
84,22.0,4,121.0,76.0,2511,18.0,72,2,volkswagen 411 (sw)
49,12.0,8,383.0,180.0,4955,11.5,71,1,dodge monaco (sw)
314,26.8,6,173.0,115.0,2700,12.9,79,1,oldsmobile omega brougham
327,37.0,4,119.0,92.0,2434,15.0,80,3,datsun 510 hatchback
224,30.0,4,111.0,80.0,2155,14.8,77,1,buick opel isuzu deluxe
6,14.0,8,454.0,220.0,4354,9.0,70,1,chevrolet impala
358,34.4,4,98.0,65.0,2045,16.2,81,1,ford escort 4w
71,15.0,8,318.0,150.0,4135,13.5,72,1,plymouth fury iii
342,35.0,4,122.0,88.0,2500,15.1,80,2,triumph tr7 coupe
141,16.0,6,258.0,110.0,3632,18.0,74,1,amc matador
231,15.0,8,302.0,130.0,4295,14.9,77,1,mercury cougar brougham
338,33.8,4,97.0,67.0,2145,18.0,80,3,subaru dl
3,16.0,8,304.0,150.0,3433,12.0,70,1,amc rebel sst
181,18.0,6,171.0,97.0,2984,14.5,75,1,ford pinto
401,27.0,4,140.0,86.0,2790,15.6,82,1,ford mustang gl
229,17.0,8,260.0,110.0,4060,19.0,77,1,oldsmobile cutlass supreme
303,27.4,4,121.0,80.0,2670,15.0,79,1,amc spirit dl
178,24.0,4,134.0,96.0,2702,13.5,75,3,toyota corona
33,11.0,8,318.0,210.0,4382,13.5,70,1,dodge d200
325,29.8,4,134.0,90.0,2711,15.5,80,3,toyota corona liftback
99,13.0,8,351.0,158.0,4363,13.0,73,1,ford ltd
349,30.0,4,135.0,84.0,2385,12.9,81,1,plymouth reliant
364,32.9,4,119.0,100.0,2615,14.8,81,3,datsun 200sx
2,18.0,8,318.0,150.0,3436,11.0,70,1,plymouth satellite
5,15.0,8,429.0,198.0,4341,10.0,70,1,ford galaxie 500
277,21.1,4,134.0,95.0,2515,14.8,78,3,toyota celica gt liftback
126,20.0,4,114.0,91.0,2582,14.0,73,2,audi 100ls
339,29.8,4,89.0,62.0,1845,15.3,80,2,vokswagen rabbit
80,13.0,8,307.0,130.0,4098,14.0,72,1,chevrolet chevelle concours (sw)
125,24.0,4,116.0,75.0,2158,15.5,73,2,opel manta
46,14.0,8,400.0,175.0,4464,11.5,71,1,pontiac catalina brougham
158,31.0,4,79.0,67.0,2000,16.0,74,2,fiat x1.9
266,20.8,6,200.0,85.0,3070,16.7,78,1,mercury zephyr
262,25.1,4,140.0,88.0,2720,15.4,78,1,ford fairmont (man)
291,20.6,6,225.0,110.0,3360,16.6,79,1,dodge aspen 6
90,28.0,4,98.0,80.0,2164,15.0,72,1,dodge colt (sw)
264,19.4,6,232.0,90.0,3210,17.2,78,1,amc concord
85,21.0,4,120.0,87.0,2979,19.5,72,2,peugeot 504 (sw)
226,25.5,4,122.0,96.0,2300,15.5,77,1,plymouth arrow gs
115,20.0,4,97.0,88.0,2279,19.0,73,3,toyota carina
310,31.8,4,85.0,65.0,2020,19.2,79,3,datsun 210
66,23.0,4,97.0,54.0,2254,23.5,72,2,volkswagen type 3
317,38.1,4,89.0,60.0,1968,18.8,80,3,toyota corolla tercel
204,29.0,4,90.0,70.0,1937,14.2,76,2,vw rabbit
319,37.2,4,86.0,65.0,2019,16.4,80,3,datsun 310
15,15.0,8,383.0,170.0,3563,10.0,70,1,dodge challenger se
203,24.5,4,98.0,60.0,2164,22.1,76,1,chevrolet woody
369,25.4,6,168.0,116.0,2900,12.6,81,3,toyota cressida
265,20.6,6,231.0,105.0,3380,15.8,78,1,buick century special
190,25.0,4,116.0,81.0,2220,16.9,76,2,opel 1900
371,22.4,6,231.0,110.0,3415,15.8,81,1,buick century
250,21.5,3,80.0,110.0,2720,13.5,77,3,mazda rx-4
270,17.7,6,231.0,165.0,3445,13.4,78,1,buick regal sport coupe (turbo)
32,10.0,8,307.0,200.0,4376,15.0,70,1,chevy c20
321,26.4,4,140.0,88.0,2870,18.1,80,1,ford fairmont
282,17.0,6,163.0,125.0,3140,13.6,78,2,volvo 264gl
186,22.0,4,121.0,98.0,2945,14.5,75,2,volvo 244dl
350,39.1,4,79.0,58.0,1755,16.9,81,3,toyota starlet
237,15.5,8,350.0,170.0,4165,11.4,77,1,chevrolet monte carlo landau
324,34.3,4,97.0,78.0,2188,15.8,80,2,audi 4000
149,26.0,4,79.0,67.0,1963,15.5,74,2,volkswagen dasher
69,13.0,8,350.0,165.0,4274,12.0,72,1,chevrolet impala
202,29.0,4,85.0,52.0,2035,22.2,76,1,chevrolet chevette
300,31.9,4,89.0,71.0,1925,14.0,79,2,vw rabbit custom
201,22.5,6,232.0,90.0,3085,17.6,76,1,amc hornet
106,18.0,6,232.0,100.0,2945,16.0,73,1,amc hornet
375,28.0,4,112.0,88.0,2605,19.6,82,1,chevrolet cavalier
276,30.9,4,105.0,75.0,2230,14.5,78,1,dodge omni
157,26.0,4,108.0,93.0,2391,15.5,74,3,subaru
372,26.6,8,350.0,105.0,3725,19.0,81,1,oldsmobile cutlass ls
274,27.5,4,134.0,95.0,2560,14.2,78,3,toyota corona
95,14.0,8,302.0,137.0,4042,14.5,73,1,ford gran torino
104,18.0,6,225.0,105.0,3121,16.5,73,1,plymouth valiant
24,27.0,4,97.0,88.0,2130,14.5,70,3,datsun pl510
377,34.0,4,112.0,88.0,2395,18.0,82,1,chevrolet cavalier 2-door
366,28.1,4,141.0,80.0,3230,20.4,81,2,peugeot 505s turbo diesel
344,32.4,4,107.0,72.0,2290,17.0,80,3,honda accord
68,21.0,4,122.0,86.0,2226,16.5,72,1,ford pinto runabout
200,24.0,6,200.0,81.0,3012,17.6,76,1,ford maverick
215,13.0,8,318.0,150.0,3940,13.2,76,1,plymouth volare premier v8
390,34.0,4,108.0,70.0,2245,16.9,82,3,toyota corolla
311,37.3,4,91.0,69.0,2130,14.7,79,2,fiat strada custom
27,24.0,4,107.0,90.0,2430,14.5,70,2,audi 100 ls
283,21.6,4,121.0,115.0,2795,15.7,78,2,saab 99gle
212,28.0,4,97.0,75.0,2155,16.4,76,3,toyota corolla
173,13.0,8,302.0,129.0,3169,12.0,75,1,ford mustang ii
233,20.5,6,231.0,105.0,3425,16.9,77,1,buick skylark
74,11.0,8,429.0,208.0,4633,11.0,72,1,mercury marquis
48,14.0,8,318.0,150.0,4096,13.0,71,1,plymouth fury iii
61,35.0,4,72.0,69.0,1613,18.0,71,3,datsun 1200
75,13.0,8,350.0,155.0,4502,13.5,72,1,buick lesabre custom
78,19.0,3,70.0,97.0,2330,13.5,72,3,mazda rx2 coupe
404,28.0,4,120.0,79.0,2625,18.6,82,1,ford ranger
25,26.0,4,97.0,46.0,1835,20.5,70,2,volkswagen 1131 deluxe sedan
64,24.0,4,113.0,95.0,2278,15.5,72,3,toyota corona hardtop
389,36.0,4,107.0,75.0,2205,14.5,82,3,honda accord
54,19.0,6,250.0,100.0,3282,15.0,71,1,pontiac firebird
312,28.4,4,151.0,90.0,2670,16.0,79,1,buick skylark limited
326,31.3,4,120.0,75.0,2542,17.5,80,3,mazda 626
269,19.2,8,305.0,145.0,3425,13.2,78,1,chevrolet monte carlo landau
205,33.0,4,91.0,53.0,1795,17.4,76,3,honda civic
35,27.0,4,97.0,88.0,2130,14.5,71,3,datsun pl510
4,17.0,8,302.0,140.0,3449,10.5,70,1,ford torino
127,19.0,4,121.0,112.0,2868,15.5,73,2,volvo 144ea
278,23.2,4,156.0,105.0,2745,16.7,78,1,plymouth sapporo
289,22.3,4,140.0,88.0,2890,17.3,79,1,ford fairmont 4
160,18.0,6,250.0,105.0,3459,16.0,75,1,chevrolet nova
166,14.0,8,351.0,148.0,4657,13.5,75,1,ford ltd
59,30.0,4,88.0,76.0,2065,14.5,71,2,fiat 124b
135,15.0,6,250.0,100.0,3336,17.0,74,1,chevrolet nova
47,14.0,8,351.0,153.0,4154,13.5,71,1,ford galaxie 500
28,25.0,4,104.0,95.0,2375,17.5,70,2,saab 99e
118,18.0,3,70.0,90.0,2124,13.5,73,3,maxda rx3
184,23.0,4,115.0,95.0,2694,15.0,75,2,audi 100ls
323,19.1,6,225.0,90.0,3381,18.7,80,1,dodge aspen
320,28.0,4,151.0,90.0,2678,16.5,80,1,chevrolet citation
196,15.5,8,304.0,120.0,3962,13.9,76,1,amc matador
136,31.0,4,79.0,67.0,1950,19.0,74,3,datsun b210
20,24.0,4,113.0,95.0,2372,15.0,70,3,toyota corona mark ii
109,26.0,4,97.0,46.0,1950,21.0,73,2,volkswagen super beetle
179,25.0,4,90.0,71.0,2223,16.5,75,2,volkswagen dasher
261,20.2,6,200.0,85.0,2965,15.8,78,1,ford fairmont (auto)
123,16.0,8,400.0,230.0,4278,9.5,73,1,pontiac grand prix
56,23.0,4,122.0,86.0,2220,14.0,71,1,mercury capri 2000
193,27.0,4,101.0,83.0,2202,15.3,76,2,renault 12tl
357,34.7,4,105.0,63.0,2215,14.9,81,1,plymouth horizon 4
8,14.0,8,455.0,225.0,4425,10.0,70,1,pontiac catalina
0,18.0,8,307.0,130.0,3504,12.0,70,1,chevrolet chevelle malibu
18,15.0,8,400.0,150.0,3761,9.5,70,1,chevrolet monte carlo
355,37.7,4,89.0,62.0,2050,17.3,81,3,toyota tercel
182,29.0,4,90.0,70.0,1937,14.0,75,2,volkswagen rabbit
330,27.9,4,156.0,105.0,2800,14.4,80,1,dodge colt
206,20.0,6,225.0,100.0,3651,17.7,76,1,dodge aspen se
221,13.0,8,302.0,130.0,3870,15.0,76,1,ford f108
222,13.0,8,318.0,150.0,3755,14.0,76,1,dodge d100
299,18.5,8,360.0,150.0,3940,13.0,79,1,chrysler lebaron town @ country (sw)
22,18.0,6,199.0,97.0,2774,15.5,70,1,amc hornet
